,history_generator_loss,history_discriminator_loss
78,"tf.Tensor(1.6721134, shape=(), dtype=float32)","tf.Tensor(0.65423524, shape=(), dtype=float32)"
79,"tf.Tensor(2.0196018, shape=(), dtype=float32)","tf.Tensor(0.5828245, shape=(), dtype=float32)"
80,"tf.Tensor(2.2916462, shape=(), dtype=float32)","tf.Tensor(0.5543391, shape=(), dtype=float32)"
81,"tf.Tensor(2.3548357, shape=(), dtype=float32)","tf.Tensor(0.51075256, shape=(), dtype=float32)"
82,"tf.Tensor(2.3196564, shape=(), dtype=float32)","tf.Tensor(0.46248084, shape=(), dtype=float32)"
83,"tf.Tensor(2.1206565, shape=(), dtype=float32)","tf.Tensor(0.36716205, shape=(), dtype=float32)"
84,"tf.Tensor(1.8927574, shape=(), dtype=float32)","tf.Tensor(0.39567545, shape=(), dtype=float32)"
85,"tf.Tensor(1.958227, shape=(), dtype=float32)","tf.Tensor(0.38576174, shape=(), dtype=float32)"
86,"tf.Tensor(2.218235, shape=(), dtype=float32)","tf.Tensor(0.39578676, shape=(), dtype=float32)"
87,"tf.Tensor(2.2399778, shape=(), dtype=float32)","tf.Tensor(0.38041747, shape=(), dtype=float32)"
88,"tf.Tensor(2.205981, shape=(), dtype=float32)","tf.Tensor(0.38581523, shape=(), dtype=float32)"
89,"tf.Tensor(2.1350648, shape=(), dtype=float32)","tf.Tensor(0.36927283, shape=(), dtype=float32)"
90,"tf.Tensor(2.0586634, shape=(), dtype=float32)","tf.Tensor(0.38210613, shape=(), dtype=float32)"
91,"tf.Tensor(2.226808, shape=(), dtype=float32)","tf.Tensor(0.33377406, shape=(), dtype=float32)"
92,"tf.Tensor(2.3726692, shape=(), dtype=float32)","tf.Tensor(0.2973606, shape=(), dtype=float32)"
93,"tf.Tensor(2.5580478, shape=(), dtype=float32)","tf.Tensor(0.26739514, shape=(), dtype=float32)"
94,"tf.Tensor(2.604444, shape=(), dtype=float32)","tf.Tensor(0.2464526, shape=(), dtype=float32)"
95,"tf.Tensor(2.9486096, shape=(), dtype=float32)","tf.Tensor(0.21011928, shape=(), dtype=float32)"
96,"tf.Tensor(2.95908, shape=(), dtype=float32)","tf.Tensor(0.21007788, shape=(), dtype=float32)"
97,"tf.Tensor(3.108224, shape=(), dtype=float32)","tf.Tensor(0.15893084, shape=(), dtype=float32)"
98,"tf.Tensor(3.1953523, shape=(), dtype=float32)","tf.Tensor(0.15308937, shape=(), dtype=float32)"
99,"tf.Tensor(3.3510542, shape=(), dtype=float32)","tf.Tensor(0.11510521, shape=(), dtype=float32)"
100,"tf.Tensor(3.5107725, shape=(), dtype=float32)","tf.Tensor(0.11978701, shape=(), dtype=float32)"
101,"tf.Tensor(3.736146, shape=(), dtype=float32)","tf.Tensor(0.11425649, shape=(), dtype=float32)"
102,"tf.Tensor(4.188108, shape=(), dtype=float32)","tf.Tensor(0.06641274, shape=(), dtype=float32)"
103,"tf.Tensor(4.244461, shape=(), dtype=float32)","tf.Tensor(0.077688456, shape=(), dtype=float32)"
104,"tf.Tensor(4.382862, shape=(), dtype=float32)","tf.Tensor(0.08473215, shape=(), dtype=float32)"
105,"tf.Tensor(4.5004025, shape=(), dtype=float32)","tf.Tensor(0.11538024, shape=(), dtype=float32)"
106,"tf.Tensor(4.5652266, shape=(), dtype=float32)","tf.Tensor(0.10150272, shape=(), dtype=float32)"
107,"tf.Tensor(4.3993444, shape=(), dtype=float32)","tf.Tensor(0.14916593, shape=(), dtype=float32)"
108,"tf.Tensor(3.9895768, shape=(), dtype=float32)","tf.Tensor(0.14352378, shape=(), dtype=float32)"
109,"tf.Tensor(3.965515, shape=(), dtype=float32)","tf.Tensor(0.15700059, shape=(), dtype=float32)"
110,"tf.Tensor(3.5142457, shape=(), dtype=float32)","tf.Tensor(0.25600418, shape=(), dtype=float32)"
111,"tf.Tensor(3.1182334, shape=(), dtype=float32)","tf.Tensor(0.28878903, shape=(), dtype=float32)"
112,"tf.Tensor(2.617528, shape=(), dtype=float32)","tf.Tensor(0.33879828, shape=(), dtype=float32)"
113,"tf.Tensor(2.0957522, shape=(), dtype=float32)","tf.Tensor(0.60160565, shape=(), dtype=float32)"
114,"tf.Tensor(1.707531, shape=(), dtype=float32)","tf.Tensor(0.5968049, shape=(), dtype=float32)"
115,"tf.Tensor(1.5096123, shape=(), dtype=float32)","tf.Tensor(0.7686594, shape=(), dtype=float32)"
116,"tf.Tensor(1.350933, shape=(), dtype=float32)","tf.Tensor(0.911865, shape=(), dtype=float32)"
117,"tf.Tensor(1.1072125, shape=(), dtype=float32)","tf.Tensor(1.1927972, shape=(), dtype=float32)"
118,"tf.Tensor(0.87856704, shape=(), dtype=float32)","tf.Tensor(1.472394, shape=(), dtype=float32)"
119,"tf.Tensor(0.8419927, shape=(), dtype=float32)","tf.Tensor(1.6955423, shape=(), dtype=float32)"
120,"tf.Tensor(0.80215454, shape=(), dtype=float32)","tf.Tensor(1.968404, shape=(), dtype=float32)"
121,"tf.Tensor(0.69984746, shape=(), dtype=float32)","tf.Tensor(1.7869341, shape=(), dtype=float32)"
122,"tf.Tensor(0.75466114, shape=(), dtype=float32)","tf.Tensor(2.1121213, shape=(), dtype=float32)"
123,"tf.Tensor(0.7303282, shape=(), dtype=float32)","tf.Tensor(1.88491, shape=(), dtype=float32)"
124,"tf.Tensor(0.79541457, shape=(), dtype=float32)","tf.Tensor(2.3562934, shape=(), dtype=float32)"
125,"tf.Tensor(0.8365009, shape=(), dtype=float32)","tf.Tensor(1.9095123, shape=(), dtype=float32)"
126,"tf.Tensor(0.87345326, shape=(), dtype=float32)","tf.Tensor(2.4336941, shape=(), dtype=float32)"
127,"tf.Tensor(0.6876044, shape=(), dtype=float32)","tf.Tensor(2.127521, shape=(), dtype=float32)"
128,"tf.Tensor(0.6124604, shape=(), dtype=float32)","tf.Tensor(2.3039668, shape=(), dtype=float32)"
129,"tf.Tensor(0.74819124, shape=(), dtype=float32)","tf.Tensor(2.2874312, shape=(), dtype=float32)"
130,"tf.Tensor(0.9143129, shape=(), dtype=float32)","tf.Tensor(1.8393021, shape=(), dtype=float32)"
131,"tf.Tensor(1.1741655, shape=(), dtype=float32)","tf.Tensor(1.6441457, shape=(), dtype=float32)"
132,"tf.Tensor(1.2731446, shape=(), dtype=float32)","tf.Tensor(2.0127802, shape=(), dtype=float32)"
133,"tf.Tensor(1.0257941, shape=(), dtype=float32)","tf.Tensor(1.8393713, shape=(), dtype=float32)"
134,"tf.Tensor(0.9418371, shape=(), dtype=float32)","tf.Tensor(2.0520818, shape=(), dtype=float32)"
135,"tf.Tensor(0.7323209, shape=(), dtype=float32)","tf.Tensor(2.0615327, shape=(), dtype=float32)"
136,"tf.Tensor(0.7385141, shape=(), dtype=float32)","tf.Tensor(1.773618, shape=(), dtype=float32)"
137,"tf.Tensor(1.0710733, shape=(), dtype=float32)","tf.Tensor(1.7684213, shape=(), dtype=float32)"
138,"tf.Tensor(1.1492358, shape=(), dtype=float32)","tf.Tensor(1.9146391, shape=(), dtype=float32)"
139,"tf.Tensor(1.0560288, shape=(), dtype=float32)","tf.Tensor(1.6815095, shape=(), dtype=float32)"
140,"tf.Tensor(0.9099503, shape=(), dtype=float32)","tf.Tensor(2.126805, shape=(), dtype=float32)"
141,"tf.Tensor(0.7935649, shape=(), dtype=float32)","tf.Tensor(1.6894214, shape=(), dtype=float32)"
142,"tf.Tensor(0.7788328, shape=(), dtype=float32)","tf.Tensor(2.0642962, shape=(), dtype=float32)"
143,"tf.Tensor(0.73203856, shape=(), dtype=float32)","tf.Tensor(1.9218531, shape=(), dtype=float32)"
144,"tf.Tensor(0.71106076, shape=(), dtype=float32)","tf.Tensor(2.205481, shape=(), dtype=float32)"
145,"tf.Tensor(0.7084867, shape=(), dtype=float32)","tf.Tensor(2.1838896, shape=(), dtype=float32)"
